ACTION,TARGET_NAME,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,REQUEST_DATE
remove_access,9670,64359,8,33408,37239,9,38385,6,44554,2,33365,4,2006/2/10 9:44
add_access,8557,34496,8,33290,34280,33431,33430,6,34495,33416,34279,33418,2008/11/20 11:06
add_access,8819,33402,8,33290,33386,33309,33403,6,33401,33316,33385,33317,2010/3/12 8:35
add_access,7247,33776,33777,33290,33775,33431,33291,6,33774,33283,33323,33285,2010/3/22 9:43
remove_access,9811,44223,34383,33290,33718,33431,33291,6,41401,33283,33885,33285,2007/4/27 10:49
add_access,10538,65685,8,33617,34047,33431,33618,6,75626,33416,33614,33418,2010/8/31 16:29
add_access,7489,37904,8,33844,33854,33326,33362,6,37903,33426,33853,33428,2008/2/8 12:44
remove_access,3312,43564,35227,33290,35228,33431,33291,6,43563,33283,35227,33285,2010/8/17 13:38
remove_access,9811,36850,8,33290,36490,33431,33461,6,40766,33283,33284,33285,2010/5/25 8:32
remove_access,3229,66867,8,33290,36928,33326,33526,6,41559,33521,36927,33523,2008/7/5 16:06
add_access,2664,41519,36662,33290,34088,33431,33423,6,39571,33283,33284,33285,2009/9/25 8:44
add_access,11062,59826,8,33290,34398,9,33430,6,34396,33299,34397,33301,2009/1/28 10:26
add_access,9273,34568,33344,33346,38650,9,34569,6,38649,33339,33895,33341,2009/1/28 8:48
add_access,6895,42050,33751,33290,33667,9,33291,6,42049,33283,33666,33285,2010/1/19 8:33
remove_access,9811,35071,8,33290,34102,33431,33430,6,34101,33299,33790,33301,2010/7/26 13:48
remove_access,9811,36877,8,33290,35454,33431,33430,6,43686,33426,35335,33428,2009/2/23 8:35
add_access,9660,33933,8,33369,33366,33309,33370,6,36470,2,33365,4,2008/12/21 11:11
add_access,6180,7,8,33313,33467,9,11,6,39753,2,3,4,2009/8/20 15:51
add_access,8313,53919,8,33290,33621,9,34539,6,47265,33426,33621,33428,2008/10/23 11:27
add_access,4797,36877,8,33290,33429,33431,33430,6,58386,33426,33427,33428,2008/5/6 15:24
add_access,7489,50075,44965,33290,39341,9,33291,6,39340,33283,36494,33285,2009/10/9 10:16
add_access,8100,33413,8,33369,33406,33309,33370,6,37451,2,33365,4,2009/11/27 15:40
add_access,6895,52892,8,33290,33549,33289,33526,6,52891,33521,34787,33523,2006/12/28 12:07
add_access,9511,61378,8,33290,34041,33289,33678,6,38056,33426,33675,33428,2008/5/15 15:25
remove_access,3510,66496,8,33388,35491,33431,33968,6,45543,33316,34256,33317,2009/11/24 9:31
remove_access,10127,48781,8,33290,35374,33431,33430,6,48862,33426,33675,33428,2008/11/13 11:24
remove_access,9345,37107,8,33290,33549,9,33526,6,33548,33521,34787,33523,2010/7/12 17:33
remove_access,10606,37491,8,33290,33866,33431,33905,6,49189,33299,33866,33301,2008/10/14 11:53
remove_access,9813,42966,8,33904,34611,34576,42967,6,34609,2,34610,4,2006/6/16 15:34
remove_access,6677,65397,8,33290,45870,33326,33362,6,45869,33339,35899,33341,2010/8/16 11:05
add_access,8253,70387,8,33290,35972,9,33362,6,53149,33416,35971,33418,2009/10/7 14:16
add_access,9409,36940,8,33290,35835,33431,33863,6,42844,33316,33385,33317,2009/4/14 8:33
add_access,10145,72920,45804,33290,34041,33289,33678,6,34040,33426,33675,33428,2009/12/23 21:54
add_access,3203,35467,8,33844,33854,33431,33968,6,35558,33426,33853,33428,2008/11/4 15:32
remove_access,9795,40144,8,33296,34917,33326,11,6,34951,2,3,4,2006/7/10 2:07
add_access,9420,33518,8,33388,34480,9,33430,6,39614,33316,34024,33317,2009/10/21 9:26
add_access,11206,33518,8,33422,33573,9,33430,6,33831,33416,33529,33418,2010/8/18 11:23
add_access,10323,65003,8,33290,39584,33326,34545,6,34579,33316,33385,33317,2009/9/11 13:25
add_access,8453,7,8,33313,33467,9,11,6,36447,2,3,4,2010/1/19 8:48
add_access,9809,33336,8,33276,33307,33275,11,6,33435,2,3,4,2005/11/7 16:24
add_access,4344,36431,8,33290,33524,33289,33526,6,67076,33521,33522,33523,2010/4/26 8:23
add_access,9771,33336,8,33313,33279,33275,11,6,34606,2,3,4,2005/11/7 16:27
remove_access,3163,47917,8,33408,36903,33309,33370,6,38308,2,33365,4,2010/4/30 9:57
add_access,9667,33933,8,33369,33366,33309,33370,6,33932,2,33365,4,2007/11/12 8:27
add_access,2193,33770,8,33290,33769,33289,33347,6,33767,2,33768,4,2009/12/31 13:27
add_access,7845,37904,8,33844,33854,33326,33362,6,37903,33426,33853,33428,2010/3/16 8:34
add_access,9148,48670,8,33844,36556,33309,33930,6,36006,33426,33927,33428,2010/6/22 15:49
remove_access,9773,40783,8,33313,34200,33289,33657,6,34796,2,33730,4,2008/1/3 4:12
add_access,11008,76169,33777,33290,35374,33345,33461,6,42248,33426,33675,33428,2005/11/8 10:00
add_access,11008,51826,8,33904,33870,33431,11,6,38700,2,3,4,2007/4/4 8:54
add_access,6115,43488,8,33290,35972,33326,33461,6,38475,33416,35971,33418,2009/10/19 17:29
add_access,7009,45329,8,33290,33549,33268,33270,6,39801,33521,33265,33523,2010/1/27 9:16
add_access,7013,55903,8,33290,48624,34576,34613,6,34571,33283,33447,33285,2008/10/14 9:12
add_access,8243,33862,8,33290,42721,9,33863,6,42720,33316,33385,33317,2008/6/2 15:28
add_access,9772,41783,8,33313,33769,33289,33347,6,49449,2,33768,4,2005/11/8 10:00
add_access,8944,44837,8,33290,40737,33431,600,6,44078,33283,33584,33285,2009/1/27 16:28
add_access,7414,40456,8,33290,35112,33431,33291,6,35705,33416,33529,33418,2010/1/1 9:56
add_access,7186,33518,8,33290,33621,9,33430,6,44761,33426,33621,33428,2010/7/6 18:44
remove_access,9828,54186,8,10,35629,33345,11,6,53063,2,3,4,2008/3/20 4:09
add_access,10838,33518,8,33290,33866,9,33430,6,40884,33299,33866,33301,2006/3/7 19:52
add_access,9336,37107,8,33290,33549,9,33526,6,54332,33521,34787,33523,2009/9/2 12:25
add_access,6891,33518,8,33290,33731,33431,33430,6,38505,2,33730,4,2009/9/30 9:17
remove_access,9729,41554,8,33313,34535,33309,34553,6,41553,33283,33447,33285,2009/4/15 4:15
add_access,3200,75101,33538,33290,33536,33431,34780,6,74444,33283,33284,33285,2008/7/2 15:57
add_access,5405,7,8,33313,33467,9,11,6,38349,2,3,4,2010/2/19 8:27
add_access,10083,7,8,33455,33453,9,11,6,65235,2,3,4,2009/3/6 14:36
add_access,8204,33518,8,33422,35822,33289,33430,6,36252,33283,33284,33285,2007/11/13 8:17
add_access,10160,35265,8,33388,34257,33289,33930,6,35264,33316,34256,33317,2005/11/8 10:00
add_access,9226,45082,8,33290,36964,33289,33291,6,45081,33283,36963,33285,2009/9/16 8:12
remove_access,9722,33862,8,33290,37490,9,33863,6,38077,33299,33395,33301,2007/12/28 12:53
add_access,4023,57887,8,33455,33568,33431,33526,6,37672,2,34012,4,2009/7/8 10:25
add_access,8248,33862,8,33290,33861,9,33863,6,39808,33299,33395,33301,2008/5/26 3:02
add_access,9139,37551,8,10,33769,33289,33347,6,35845,2,33768,4,2010/1/26 8:37
add_access,7348,36877,8,33290,34280,33431,33430,6,35203,33416,34279,33418,2010/5/18 9:46
add_access,9287,65110,8,33290,53382,33326,33526,6,35012,33521,34787,33523,2009/1/29 9:01
add_access,9351,57802,8,33290,36928,34576,36052,6,36050,33521,36927,33523,2009/12/31 8:47
remove_access,8315,36281,8,33290,34353,33431,33905,6,34352,33316,34024,33317,2010/2/19 11:50
remove_access,9795,52830,8,33290,36964,33326,33291,6,38789,33283,36963,33285,2006/9/11 2:10
add_access,10987,75566,8,33313,33438,33289,33712,6,75565,2,3,4,2009/11/17 9:51
remove_access,7411,55942,8,33290,34412,33431,33291,6,52731,33283,34411,33285,2010/4/1 15:38
add_access,8557,46230,40163,33290,38008,9,33291,6,46229,33283,40641,33285,2009/8/6 10:26
add_access,8880,33518,8,33290,36641,9,33430,6,40608,33283,34432,33285,2010/6/3 9:52
add_access,10108,44295,8,33290,42245,33431,33430,6,35395,2,33730,4,2010/4/15 16:28
add_access,10893,33691,8,33290,33936,9,33430,6,37643,33283,33447,33285,2009/7/29 8:32
add_access,8035,71148,8,34210,35516,33345,34242,6,55860,33416,34207,33418,2010/2/2 9:55
add_access,9004,67214,8,33290,33549,33289,33526,6,33548,33521,34787,33523,2010/1/12 10:32
add_access,4603,34390,8,33296,33438,33309,11,6,41343,2,3,4,2009/7/1 20:36
remove_access,9811,77294,8,33290,36151,33326,33291,6,37960,33283,36150,33285,2010/5/18 11:08
