ACTION,TARGET_NAME,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3
0,9811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,7489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9813,33489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9813,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,9813,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
0,9813,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1
1,9667,-1,-1,-1,-1,33289,-1,-1,-1,-1,-1,-1
1,9667,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,2660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,10188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11132,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11132,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,11132,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,11132,-1,-1,-1,-1,-1,33863,-1,-1,-1,-1,-1
1,10733,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,10733,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,10733,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,6895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,7190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,3200,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,3200,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,3200,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8253,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,8311,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,8311,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,8311,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,10315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11077,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11077,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,11315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11046,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,11046,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8567,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,8567,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,9175,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9175,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,9264,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9264,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,7378,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,7378,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,7714,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,8250,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8250,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,8595,-1,-1,33290,-1,-1,-1,-1,-1,-1,-1,-1
1,8595,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
1,9454,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1
