ACTION,TARGET_NAME,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,REQUEST_DATE
remove_access,9670,64359,8,33408,37239,9,38385,6,44554,2,33365,4,2006-02-10 09:44:57
add_access,8557,34496,8,33290,34280,33431,33430,6,34495,33416,34279,33418,2008-11-20 11:06:18
add_access,8819,33402,8,33290,33386,33309,33403,6,33401,33316,33385,33317,2010-03-12 08:35:51
add_access,7247,33776,33777,33290,33775,33431,33291,6,33774,33283,33323,33285,2010-03-22 09:43:41
remove_access,9811,44223,34383,33290,33718,33431,33291,6,41401,33283,33885,33285,2007-04-27 10:49:25
add_access,10538,65685,8,33617,34047,33431,33618,6,75626,33416,33614,33418,2010-08-31 16:29:12
add_access,7489,37904,8,33844,33854,33326,33362,6,37903,33426,33853,33428,2008-02-08 12:44:09
remove_access,3312,43564,35227,33290,35228,33431,33291,6,43563,33283,35227,33285,2010-08-17 13:38:16
remove_access,9811,36850,8,33290,36490,33431,33461,6,40766,33283,33284,33285,2010-05-25 08:32:29
remove_access,3229,66867,8,33290,36928,33326,33526,6,41559,33521,36927,33523,2008-07-05 16:06:08
add_access,2664,41519,36662,33290,34088,33431,33423,6,39571,33283,33284,33285,2009-09-25 08:44:32
add_access,11062,59826,8,33290,34398,9,33430,6,34396,33299,34397,33301,2009-01-28 10:26:33
add_access,9273,34568,33344,33346,38650,9,34569,6,38649,33339,33895,33341,2009-01-28 08:48:18
add_access,6895,42050,33751,33290,33667,9,33291,6,42049,33283,33666,33285,2010-01-19 08:33:27
remove_access,9811,35071,8,33290,34102,33431,33430,6,34101,33299,33790,33301,2010-07-26 13:48:58
remove_access,9811,36877,8,33290,35454,33431,33430,6,43686,33426,35335,33428,2009-02-23 08:35:28
add_access,9660,33933,8,33369,33366,33309,33370,6,36470,2,33365,4,2008-12-21 11:11:12
add_access,6180,7,8,33313,33467,9,11,6,39753,2,3,4,2009-08-20 15:51:27
add_access,8313,53919,8,33290,33621,9,34539,6,47265,33426,33621,33428,2008-10-23 11:27:18
