LOGIN,ACTION,TARGET_NAME,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,REQUEST_DATE
72931,add_access,5610,72933,8,34210,33366,33289,33370,6,72932,33416,34207,33418,2009-11-24 09:35:20
57544,remove_access,758,33518,8,33290,33621,9,33430,6,39019,33426,33621,33428,2007-10-01 15:09:33
76786,add_access,10687,76787,8,33290,35112,33431,33461,6,46740,33416,33529,33418,2009-04-24 15:17:58
36282,add_access,10587,34496,8,33290,35398,33431,33430,6,36283,33426,33675,33428,2010-03-29 09:27:14
77753,remove_access,10081,33518,8,33290,33731,9,33430,6,44888,2,33730,4,2008-10-15 15:39:54
66851,add_access,4580,66852,8,33290,33549,33289,33526,6,45998,33521,34787,33523,2008-05-07 08:32:15
40685,add_access,3656,40687,8,33313,38594,33326,11,6,40686,2,3,4,2009-08-27 15:50:28
58586,add_access,2910,42518,8,33290,33477,9,600,6,38117,33416,33476,33418,2008-07-02 12:52:05
62735,add_access,3163,62736,8,33313,34012,33326,33526,6,46337,33521,34012,33523,2008-09-24 08:31:07
41329,add_access,10549,40783,8,33313,34200,33289,33657,6,34796,2,33730,4,2007-09-07 08:18:12
55701,remove_access,7705,55702,8,33290,42245,9,33430,6,37919,2,33730,4,2009-12-29 00:55:56
47815,add_access,7587,47816,8,33290,37199,33345,33430,6,40941,33316,34024,33317,2009-03-09 08:34:10
46364,add_access,1931,46366,8,33290,37667,9,33657,6,46365,33299,33395,33301,2008-08-08 09:12:24
39599,add_access,9936,33518,8,33290,33731,33431,33430,6,39600,2,33730,4,2010-07-10 07:31:06
48564,add_access,9102,41313,8,33290,35516,33431,33833,6,41312,33416,33529,33418,2010-03-16 08:33:41
68573,remove_access,9008,7,8,33313,33467,33289,11,6,36046,2,3,4,2006-12-28 11:24:08
55563,remove_access,9105,44698,8,33290,35018,9,33347,6,36942,33347,35017,33502,2009-07-23 06:52:26
45827,add_access,10719,33518,8,33290,38575,9,33430,6,39424,33316,34024,33317,2008-07-20 22:53:46
57357,add_access,7190,57358,40171,33290,34131,33431,33461,6,40235,33283,40171,33285,2009-07-21 16:27:12
56333,add_access,9001,36965,8,33290,36964,33431,33291,6,36962,33283,36963,33285,2010-08-30 11:26:53
41653,add_access,3287,41654,8,33290,33769,9,33347,6,35435,2,33768,4,2010-07-26 12:05:12
53799,add_access,10409,33518,8,33290,35926,33289,33430,6,39991,33339,34566,33341,2009-05-11 11:27:17
64695,remove_access,9723,64696,8,33408,37239,33326,11,6,43085,2,33365,4,2006-01-12 02:14:36
75933,add_access,3310,46682,8,33290,35159,33431,33526,6,60643,33521,35659,33523,2009-11-24 10:29:23
39613,add_access,9971,33518,8,33388,34480,9,33430,6,39614,33316,34024,33317,2009-03-16 13:20:05
52890,add_access,9880,52892,8,33290,33549,33289,33526,6,52891,33521,34787,33523,2006-09-24 13:22:29
54020,add_access,3905,36077,8,10,33438,33309,11,6,36076,2,3,4,2010-02-15 08:28:54
45463,remove_access,9521,33518,8,33290,33916,9,33430,6,33915,33416,33689,33418,2008-02-25 08:48:10
47263,remove_access,1687,33518,8,33290,35625,9,33430,6,37933,33316,34256,33317,2008-11-04 15:56:58
75342,add_access,10500,75343,8,33290,33690,9,33450,6,43935,33416,33689,33418,2010-04-01 13:05:19
72361,add_access,7829,33518,8,33388,34556,9,33430,6,43171,33316,34024,33317,2009-02-26 12:39:57
60892,add_access,7489,43061,8,33290,33360,33431,33423,6,37252,33357,33358,33359,2009-10-09 10:16:28
33719,add_access,11065,33720,8,33290,33676,33289,33678,6,33674,33426,33675,33428,2007-03-14 15:16:36
49749,add_access,9520,33691,8,33290,33517,9,33430,6,36675,33357,33458,33359,2008-05-27 08:42:42
50254,remove_access,9670,50256,8,33290,40901,9,33423,6,50255,33283,33447,33285,2006-02-10 09:58:02
73044,add_access,10083,43407,8,33313,33279,33309,11,6,34343,2,3,4,2009-07-22 15:42:40
58423,remove_access,8480,33518,8,33290,33517,9,33430,6,33516,33357,33458,33359,2006-09-07 13:30:39
67574,add_access,7935,33308,8,33296,33438,33309,11,6,34324,2,3,4,2008-09-08 08:48:33
75417,add_access,10285,36824,8,33290,33517,33431,33430,6,54569,33357,33458,33359,2005-11-08 10:00:00
41440,add_access,7408,41442,8,33290,33866,33326,33430,6,41441,33299,33866,33301,2010-03-10 18:23:16
72817,remove_access,3163,37551,8,33369,41139,33289,33347,6,38500,2,33768,4,2010-05-02 21:24:47
60187,remove_access,9211,52258,8,33290,33676,33289,33678,6,38056,33426,33675,33428,2008-05-20 17:15:17
71108,add_access,3209,45074,8,33290,33775,9,38385,6,41620,33283,33323,33285,2009-07-01 08:29:00
63273,remove_access,4051,37592,8,33408,33966,33289,33370,6,34028,2,33365,4,2010-08-11 08:11:33
70898,add_access,11327,48781,8,33290,36490,33431,33430,6,45602,33283,33284,33285,2010-03-08 10:30:44
77959,add_access,7489,77960,8,33290,33549,33431,33526,6,37283,33521,34787,33523,2008-11-07 09:38:31
71780,add_access,11336,71781,8,33290,33667,33345,34577,6,38990,33283,33666,33285,2007-01-02 08:52:03
49013,add_access,7537,33518,8,33290,37995,33289,33430,6,40850,33357,37994,33359,2010-04-07 09:57:48
66509,remove_access,9620,66510,8,33290,33459,33326,33461,6,41986,33357,33458,33359,2005-08-16 08:05:53
65073,add_access,10734,65074,8,33290,34985,33289,33403,6,33543,33521,33544,33523,2008-11-04 10:43:46
54945,add_access,10106,33430,43694,33290,34662,33431,33430,6,37127,33283,36494,33285,2010-02-24 14:21:40
66109,add_access,9362,35162,8,33408,33366,33289,33370,6,41077,2,33365,4,2008-06-12 15:27:21
40318,add_access,7617,33336,8,33313,33438,33275,11,6,33899,2,3,4,2010-08-04 08:59:47
53458,remove_access,11243,36877,8,33290,35454,33431,33430,6,46990,33426,35335,33428,2010-05-24 09:40:11
59372,add_access,8685,33336,8,33313,33307,33275,11,6,34931,2,3,4,2009-12-24 08:23:33
65406,add_access,3162,35274,8,34474,39521,33431,33968,6,39520,33299,34471,33301,2009-09-29 15:47:47
69931,add_access,10312,33691,8,33290,35398,9,33430,6,52950,33426,33675,33428,2008-03-05 15:21:06
77545,add_access,3162,35895,8,33290,36928,33431,33526,6,77546,33521,36927,33523,2009-12-28 10:32:09
67600,add_access,9809,33336,8,33276,33307,33275,11,6,34285,2,3,4,2005-11-07 16:04:54
68463,add_access,9771,33336,8,33313,33279,33275,11,6,35081,2,3,4,2010-05-21 13:40:17
41409,add_access,7774,33518,8,33290,39065,9,33430,6,41410,33316,34024,33317,2009-04-24 11:09:11
55537,add_access,4678,55538,8,33290,35551,33431,33291,6,48048,33283,33584,33285,2009-01-13 09:43:31
