LOGIN,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3
78173,78174,35217,35218,35215,33431,33863,6,43236,33339,35215,33341
78168,33518,8,33290,35410,9,33430,6,49032,33316,33385,33317
78163,78164,8,33904,33870,33431,33833,6,43116,2,3,4
78143,78144,8,33290,33497,9,33291,6,43315,33283,33323,33285
78141,33622,8,33290,33621,33431,33604,6,33620,33426,33621,33428
78139,78140,8,33290,60933,33431,33526,6,60932,33521,60933,33523
78130,44837,35217,35218,35215,33431,600,6,45692,33339,35215,33341
78112,36757,8,33369,33366,33309,33370,6,38866,2,33365,4
78083,36214,8,33904,33870,33431,33423,6,45727,2,3,4
78041,33336,8,33276,33279,33275,11,6,35482,2,3,4
78026,78027,34383,33290,47909,33431,34780,6,65191,33283,33885,33285
78022,78023,8,33290,35108,33431,33430,6,43347,33339,34566,33341
78005,34067,8,10,33273,33275,11,6,34263,2,3,4
77991,33518,8,33290,35374,9,33430,6,36246,33426,33675,33428
77986,77988,33538,33290,33536,33289,33291,6,77987,33283,33284,33285
77976,33518,8,33290,33621,9,33430,6,44048,33426,33621,33428
77971,33691,8,33290,37863,9,33430,6,37862,33316,34024,33317
77959,77960,8,33290,33549,33431,33526,6,37283,33521,34787,33523
77955,39453,8,33290,33602,33345,33430,6,38880,33299,33601,33301
77907,36940,8,33290,35835,9,33863,6,59112,33316,33385,33317
77872,43407,8,33296,33279,33309,11,6,50328,2,3,4
77848,43407,8,33296,33279,33309,11,6,33745,2,3,4
77838,42379,8,33313,33467,33431,11,6,46750,2,3,4
77837,40254,8,33290,36088,33326,33526,6,36086,33521,36087,33523
77787,77788,8,33290,36928,33431,33526,6,38429,33521,36927,33523
77783,38882,8,33290,37490,33431,33604,6,44584,33299,33395,33301
77753,33518,8,33290,33731,9,33430,6,44888,2,33730,4
77739,33308,8,33276,33541,33309,11,6,36068,2,3,4
77694,34918,8,10,5,33431,11,6,54964,2,3,4
77690,77691,8,33290,36964,33431,33291,6,40346,33283,36963,33285
77680,7,8,33296,33375,9,11,6,46114,2,3,4
77668,77669,8,33290,33501,33326,33347,6,45835,33347,33501,33502
77659,7,8,33455,33453,9,11,6,52738,2,3,4
77627,35165,8,33290,36928,33431,33526,6,53771,33521,36927,33523
77624,42482,8,33313,33438,33309,11,6,48902,2,3,4
77593,33518,8,33290,37037,9,33430,6,37036,33416,33529,33418
77570,7,8,33276,33485,9,11,6,50411,2,3,4
77545,35895,8,33290,36928,33431,33526,6,77546,33521,36927,33523
77500,49482,8,33408,33366,33289,33370,6,35694,2,33365,4
77485,33862,35217,35218,35215,9,33863,6,48483,33339,35215,33341
77484,33691,8,33290,37709,9,33430,6,51575,33283,33447,33285
77382,36431,8,33290,34012,33289,33526,6,44449,33521,34012,33523
77370,48876,8,33290,34047,33326,34046,6,39710,34046,34047,34048
77334,72414,35217,35275,35885,33326,33968,6,37294,33339,35884,33341
77287,77288,8,33290,33549,33326,33526,6,53155,33521,34787,33523
77284,34557,8,33290,33866,9,33430,6,43109,33299,33866,33301
77280,33677,8,33290,34041,33289,33678,6,47336,33426,33675,33428
77263,33518,8,33290,36505,9,33430,6,37577,33416,33689,33418
77255,77256,8,33290,51594,33431,33678,6,57871,33426,33675,33428
77241,33518,8,33290,34891,33431,33430,6,34890,33299,33790,33301
77240,40146,8,33290,35112,9,33291,6,38240,33416,33529,33418
77213,77214,8,33290,33517,33431,33430,6,44900,33357,33458,33359
77207,33336,8,33313,33541,33275,11,6,35022,2,3,4
77169,36929,8,33290,36928,33431,33526,6,56790,33521,36927,33523
77158,77159,36963,33290,33775,33345,34577,6,35788,33283,33323,33285
77152,77153,75239,33290,34381,9,33461,6,47902,33283,33584,33285
77123,33518,8,33290,34353,9,33430,6,36248,33316,34024,33317
77063,77064,8,33290,35475,33326,35477,6,68773,33357,35474,33359
77056,77057,8,33290,40264,33345,33347,6,62048,33347,35017,33502
77034,36929,8,33290,35207,33431,33526,6,43376,33521,34787,33523
77028,36877,37706,33290,35600,33431,33430,6,37110,33283,34432,33285
76991,33336,8,33313,33279,33275,11,6,34763,2,3,4
76969,46502,8,33290,38575,33326,33430,6,52345,33316,34024,33317
76924,33947,8,33290,33812,9,33430,6,38878,33299,33601,33301
76869,76870,8,33290,36487,9,34569,6,53377,33416,33476,33418
76867,33518,8,33290,34251,9,33430,6,47339,2,33730,4
76854,76855,8,33290,36964,33345,34577,6,37960,33283,36963,33285
76826,38266,8,33290,36667,33431,34435,6,49649,33339,34566,33341
76818,33691,8,33290,33866,33431,33430,6,46103,33299,33866,33301
76802,76803,8,33290,33812,9,33430,6,65780,33299,33601,33301
76798,76799,8,33290,40652,34576,34577,6,34571,33283,33584,33285
76795,76796,8,33290,34862,33431,33526,6,43308,33521,34861,33523
76786,76787,8,33290,35112,33431,33461,6,46740,33416,33529,33418
76784,33454,8,33455,33453,33268,33270,6,43411,2,33265,4
76777,36004,8,33290,33621,9,34569,6,60015,33426,33621,33428
76775,76776,35217,35218,35215,33431,33362,6,50119,33339,35215,33341
76773,33518,8,33290,33621,33289,33430,6,44761,33426,33621,33428
76766,33336,8,33269,33438,33309,11,6,45239,2,3,4
76761,76762,8,33290,35571,9,33461,6,35780,33283,35570,33285
76740,76741,33751,33290,33667,33326,34780,6,52454,33283,33666,33285
76686,38434,8,33290,33318,33289,33657,6,36672,33316,33385,33317
76682,33691,8,33290,35454,33289,33430,6,35748,33426,35335,33428
76650,33478,8,33290,33530,33431,33430,6,43490,33416,33529,33418
76648,33489,8,33313,33307,33275,11,6,39484,2,3,4
76586,33336,8,33313,33279,33275,11,6,34606,2,3,4
76558,76559,8,33290,33497,9,34780,6,43764,33283,33323,33285
76547,7,8,33269,33266,9,11,6,34214,2,3,4
76503,33518,8,33290,33866,33431,33430,6,41441,33299,33866,33301
76468,33947,8,33290,33731,9,33430,6,35395,2,33730,4
76455,33518,33344,33346,33598,9,33430,6,34032,33339,33895,33341
76444,33622,8,33290,33448,33431,33604,6,39451,33283,33447,33285
76436,45383,8,33313,33467,33326,11,6,43122,2,3,4
76388,39634,8,33408,33366,33289,33370,6,35861,2,33365,4
76374,76375,8,33290,37386,33326,33863,6,43772,33299,34471,33301
76369,76370,8,34913,34412,33289,33595,6,47486,33283,34411,33285
76358,33333,8,33290,33545,33268,33270,6,35902,33521,33544,33523
76356,33518,8,33290,38575,9,33430,6,39424,33316,34024,33317
76328,76329,8,33290,33286,33289,33739,6,33737,33283,33284,33285
76291,76292,8,33290,34985,9,33403,6,33543,33521,33544,33523
76271,34568,8,33422,33828,9,34569,6,42553,33416,33689,33418
76250,36431,8,33290,36430,9,33526,6,49777,33521,36430,33523
76213,37173,8,33313,33467,33268,33270,6,34121,2,33265,4
76199,76200,8,33290,36137,33431,33291,6,52773,33283,36136,33285
76175,33531,8,33290,37995,33326,33430,6,48238,33357,37994,33359
76173,36978,8,33904,34063,33431,33604,6,41005,2,33365,4
76168,76169,33777,33290,35374,33345,33461,6,42248,33426,33675,33428
76141,42848,8,33276,33485,33326,11,6,42612,2,3,4
76140,49389,8,33290,33517,9,33430,6,35824,33357,33458,33359
76137,76138,8,33904,42245,33326,33657,6,52520,2,33730,4
76131,76132,8,33904,33870,33345,35134,6,39788,2,3,4
76118,76119,48440,33290,35551,9,33423,6,48438,33283,33584,33285
76098,34067,8,10,33307,33275,11,6,36551,2,3,4
76089,76090,8,33290,33861,33289,33863,6,33860,33299,33395,33301
76072,44503,8,33290,37014,33326,33430,6,43682,33316,37013,33317
76053,53145,8,33752,35137,33431,33595,6,53144,33416,33748,33418
76052,33336,8,33296,33279,33275,11,6,35182,2,3,4
76050,33518,8,33290,33602,33431,33430,6,39488,33299,33601,33301
76036,76037,36228,33290,34412,33326,33291,6,33322,33283,34411,33285
76020,56719,8,33269,33769,33368,33712,6,41249,2,33768,4
76015,76016,8,33369,33366,9,38385,6,35694,2,33365,4
75962,38248,8,33313,33279,33309,11,6,34116,2,3,4
75949,33518,8,33290,34465,33289,33430,6,49015,33283,34432,33285
75933,46682,8,33290,35159,33431,33526,6,60643,33521,35659,33523
75920,33518,8,33290,34251,9,33430,6,36580,2,33730,4
75910,33677,8,33276,33438,33289,33678,6,34516,2,3,4
75892,51409,33344,33346,35027,33345,33526,6,33338,33339,33895,33341
75863,33518,8,33290,35410,33289,33430,6,51855,33316,33385,33317
75793,36533,33751,33290,35516,9,33291,6,36532,33416,33529,33418
75773,75774,8,33290,33549,33309,33526,6,43717,33521,34787,33523
75760,33559,8,33269,33266,33268,33270,6,34455,2,33265,4
75759,43748,8,33290,33870,33431,35134,6,43747,2,3,4
75737,33336,8,33276,33307,33275,11,6,35876,2,3,4
75732,33489,8,33313,33273,33275,11,6,33825,2,3,4
75727,75728,8,33904,33902,33431,33430,6,36580,2,33730,4
75724,33677,8,33290,34041,33309,33678,6,37858,33426,33675,33428
75721,75723,8,33290,75722,33309,33678,6,34581,33299,34397,33301
75697,33336,8,33269,33307,33275,11,6,34072,2,3,4
75613,33518,8,33290,35963,9,33430,6,35961,33416,35962,33418
75592,40254,8,33290,36928,33326,33526,6,36926,33521,36927,33523
75582,75583,8,33290,33350,33431,33291,6,63121,33283,33885,33285
75576,49327,8,33290,34280,33345,33526,6,39175,33416,34279,33418
75541,75542,8,33290,34483,33431,33461,6,39314,33283,34411,33285
75538,41955,8,33408,33366,33309,33370,6,37906,2,33365,4
75537,33616,8,33290,35463,9,33461,6,49123,33299,34471,33301
75531,33333,8,33313,33467,33268,33270,6,33466,2,33265,4
75524,67214,8,33290,33549,33289,33526,6,52891,33521,34787,33523
75508,75509,8,33290,35228,33431,33461,6,43563,33283,35227,33285
75477,33489,8,33313,33279,33275,11,6,34703,2,3,4
75462,35162,8,33408,33366,33289,33370,6,41077,2,33365,4
75445,75446,8,33290,35835,9,33863,6,41864,33316,33385,33317
75425,33336,8,33296,33438,33275,11,6,35692,2,3,4
75417,36824,8,33290,33517,33431,33430,6,54569,33357,33458,33359
75399,33518,8,33290,34251,9,33430,6,47328,2,33730,4
75393,39634,8,33408,33366,33289,33370,6,35122,2,33365,4
75387,33518,8,33290,37037,9,33430,6,37036,33416,33529,33418
75386,34067,8,10,33273,33275,11,6,36265,2,3,4
75378,61522,8,34493,34491,33270,33587,6,34562,33283,34490,33285
75364,46481,8,33290,45714,33326,33430,6,37334,33316,34024,33317
75361,75362,8,34210,35516,9,35069,6,38150,33416,34207,33418
75353,75354,8,33290,33676,33309,33678,6,34581,33426,33675,33428
75342,75343,8,33290,33690,9,33450,6,43935,33416,33689,33418
75315,75316,8,33313,36385,33431,33657,6,36384,2,33730,4
75288,75289,36963,33290,36964,33431,34780,6,50986,33283,36963,33285
75257,75258,8,33290,33866,33431,33604,6,35668,33299,33866,33301
75231,52861,8,33290,35228,33289,33739,6,37563,33283,35227,33285
75215,75216,8,33296,33294,33431,33389,6,39680,2,3,4
75179,62011,8,33290,35207,9,33526,6,35206,33521,34787,33523
75174,34226,8,33290,33549,33268,33270,6,39801,33521,33265,33523
75155,36929,8,33290,36928,33431,33526,6,38429,33521,36927,33523
75152,36757,8,33408,33366,33309,33370,6,34905,2,33365,4
75144,44169,8,33439,33822,33309,11,6,38809,2,3,4
75113,52147,8,33290,33667,33289,33291,6,52146,33283,33666,33285
75062,75063,8,33296,43529,33326,33347,6,39738,33347,43529,33502
75058,60772,8,33296,35629,33431,33628,6,43122,2,3,4
75036,33947,8,33290,35374,9,33430,6,37953,33426,33675,33428
75003,43974,8,33290,34935,33326,33423,6,47136,2,34181,4
74994,74995,33777,33290,33775,33431,34780,6,34218,33283,33323,33285
74991,36292,8,33290,34163,33431,33423,6,36291,33357,33458,33359
74982,74983,8,33290,34182,9,33430,6,40859,2,34181,4
74981,54433,8,33276,33485,9,33628,6,54432,2,3,4
74978,40783,8,33313,36385,33289,33657,6,42144,2,33730,4
74962,35364,8,33313,33279,33309,11,6,37786,2,3,4
74957,34246,8,33313,33438,33289,33403,6,35065,2,3,4
74950,50023,8,33290,34573,33431,33291,6,50022,33283,34572,33285
74932,64107,8,33290,33775,33431,33291,6,60744,33283,33323,33285
74924,34598,8,33290,34597,33289,33347,6,40573,33347,34597,33502
74916,74917,34383,33290,33350,33431,33461,6,46402,33283,33885,33285
74910,33694,8,33313,33438,33309,11,6,57462,2,3,4
74872,74873,8,33290,35398,9,33430,6,35397,33426,33675,33428
74849,39231,8,33290,33840,9,33430,6,43370,33299,33395,33301
74825,40144,8,33296,33294,33326,11,6,43122,2,3,4
74820,62260,8,33290,36430,33431,33526,6,74821,33521,36430,33523
74805,74806,8,33290,33549,33368,33526,6,43909,33521,34787,33523
74802,71168,8,33290,35551,33431,33291,6,35550,33283,33584,33285
74737,33691,8,33290,34102,9,33430,6,34101,33299,33790,33301
74714,37592,8,33408,36100,33289,33370,6,39666,2,33365,4
74703,46183,8,33408,37239,33431,33370,6,61402,2,33365,4
74691,54690,40163,33290,38008,33431,33291,6,47987,33283,40641,33285
74678,74679,8,33290,56352,33326,33291,6,47902,33283,33584,33285
74657,33518,8,33388,34556,33289,33430,6,45527,33316,34024,33317
74640,7,8,33313,33467,9,11,6,36046,2,3,4
74629,74630,8,33290,33787,33289,33678,6,34326,33426,33675,33428
74627,74628,8,33290,41291,33326,33461,6,44206,33339,36136,33341
74578,33336,8,33313,33438,33275,11,6,33816,2,3,4
74577,33489,8,33296,33307,33275,11,6,33648,2,3,4
74513,33478,8,33290,33396,9,33430,6,35512,33299,33395,33301
74506,33694,8,33313,33438,33309,11,6,47447,2,3,4
74483,51850,8,33290,36430,9,33526,6,36429,33521,36430,33523
74473,33947,40152,33290,34347,9,33430,6,40151,33316,34347,33317
74464,74465,8,33290,35108,34576,34613,6,46521,33339,34566,33341
74453,71584,8,33369,41139,33431,33347,6,54274,2,33768,4
74447,74448,8,33290,35551,33326,33291,6,48048,33283,33584,33285
74422,33518,8,33290,33621,9,33430,6,36866,33426,33621,33428
74418,33518,8,33290,33731,9,33430,6,39600,2,33730,4
74413,39453,8,33290,33621,33345,33430,6,42649,33426,33621,33428
74399,66683,8,38785,38783,33431,33291,6,59160,33283,33584,33285
74379,52937,8,33269,33273,33309,11,6,34631,2,3,4
74372,74373,8,35275,35273,9,35276,6,46788,33339,35272,33341
74356,43335,8,33844,36556,33309,33930,6,36006,33426,33927,33428
74320,38144,8,33290,46722,9,33430,6,34565,33339,34566,33341
74319,33308,8,33313,33438,33309,11,6,34300,2,3,4
74316,72933,8,34210,33366,33289,33370,6,72932,33416,34207,33418
74312,34067,8,10,33307,33275,11,6,35352,2,3,4
74301,74302,8,33290,35301,33345,33423,6,55545,33416,33529,33418
74291,33413,8,33369,33406,33309,33370,6,33611,2,33365,4
74268,74269,8,33290,36151,33431,33291,6,49891,33283,36150,33285
74260,37578,8,33290,33517,9,33430,6,48761,33357,33458,33359
74244,33336,8,33455,33279,33275,11,6,35054,2,3,4
74189,74190,8,33904,42245,9,33430,6,59164,2,33730,4
74177,33518,8,33290,34891,9,33430,6,34890,33299,33790,33301
74152,74153,33777,33290,33775,33431,33291,6,57302,33283,33323,33285
74109,74110,8,33290,35612,33345,33370,6,49119,33416,33529,33418
74104,33947,8,33290,35926,9,33430,6,36876,33339,34566,33341
74087,36929,8,33290,34319,33431,33526,6,35012,33521,35013,33523
74074,33518,8,33290,36505,9,33430,6,42427,33416,33689,33418
74063,33622,8,33290,33602,9,33604,6,39488,33299,33601,33301
74048,40091,8,33290,33775,33431,33291,6,39389,33283,33323,33285
74044,74045,8,33290,54321,33289,34780,6,63840,33283,33323,33285
73925,34557,8,33290,33429,9,33430,6,38562,33426,33427,33428
73914,73915,8,33290,35374,33345,37073,6,42248,33426,33675,33428
73888,33336,8,33276,33541,33275,11,6,33913,2,3,4
73861,73862,8,33313,33467,33431,11,6,37436,2,3,4
73848,33947,8,33290,33602,9,33430,6,33600,33299,33601,33301
73835,34557,8,33290,35398,33431,33430,6,52950,33426,33675,33428
73825,33308,8,33313,33307,33309,11,6,34962,2,3,4
73800,43554,8,33269,33266,33326,11,6,35854,2,3,4
73793,51436,8,33290,35454,33326,33604,6,48843,33426,35335,33428
73766,73767,8,33290,34047,33345,34046,6,47964,34046,34047,34048
73761,35886,8,33290,34222,9,33968,6,48556,33426,33853,33428
73748,7,8,33313,35285,9,11,6,37984,2,3,4
73731,33489,8,33296,33273,33275,11,6,33636,2,3,4
73730,38360,8,33290,37490,9,34539,6,37489,33299,33395,33301
73712,73713,8,33290,34319,33326,33526,6,35012,33521,35013,33523
73710,36093,8,33290,34047,33326,34046,6,37149,34046,34047,34048
73662,42805,8,33290,37550,9,33347,6,46117,33347,37549,33502
73652,33336,8,33313,33438,33275,11,6,33899,2,3,4
73507,73508,8,33290,36227,33345,33430,6,35668,33299,36226,33301
73503,73504,8,33290,48624,33345,33430,6,48623,33283,33447,33285
73480,44690,8,33290,33549,33289,33526,6,43909,33521,34787,33523
73459,34918,8,33296,33294,33431,11,6,37320,2,3,4
73437,33503,8,33276,43529,33431,33347,6,35845,33347,43529,33502
73412,73413,8,33313,34517,33326,11,6,35996,2,3,4
73411,35428,8,33290,35427,33431,33526,6,57222,33521,35427,33523
73387,72464,8,33290,33549,33268,33270,6,39801,33521,33265,33523
73376,73377,8,33290,35612,33431,33370,6,41355,33416,33529,33418
73348,34067,8,10,33279,33275,11,6,38311,2,3,4
73320,33478,33344,33346,33598,9,33430,6,46254,33339,33895,33341
73307,33336,8,33455,33273,33275,11,6,34690,2,3,4
73273,73274,8,33290,36137,33431,34780,6,42121,33283,36136,33285
73267,44967,8,33290,33840,33345,33430,6,35871,33299,33395,33301
73259,34936,40163,33290,38008,33289,33712,6,37960,33283,40641,33285
73248,73249,33538,33290,33667,33326,33291,6,38990,33283,33666,33285
73241,41466,8,33904,36213,33431,33291,6,73242,2,34181,4
73236,33336,8,33296,33279,33275,11,6,33734,2,3,4
73216,73217,8,33290,34573,33431,33291,6,42352,33283,34572,33285
73155,33489,8,33313,33541,33275,11,6,35022,2,3,4
73145,60719,8,33290,39065,33326,33430,6,41410,33316,34024,33317
73135,34952,8,33313,33438,33289,33712,6,35245,2,3,4
73104,73105,8,33313,33438,33368,33403,6,34871,2,3,4
73094,33308,8,33455,33279,33309,11,6,34095,2,3,4
73086,73087,8,33904,35336,33431,33423,6,55969,33426,35335,33428
73067,33336,8,33313,33438,33275,11,6,34719,2,3,4
73049,34799,8,33290,33936,33431,33430,6,38643,33283,33447,33285
73044,43407,8,33313,33279,33309,11,6,34343,2,3,4
73012,73013,8,33290,39309,33326,33604,6,33528,33416,33529,33418
72988,33991,33751,33290,33667,9,33291,6,65858,33283,33666,33285
72980,7,8,33276,33485,9,11,6,41638,2,3,4
72978,36016,8,33388,34900,9,37073,6,72979,33316,34256,33317
72971,36596,8,33269,33266,33431,11,6,45865,2,3,4
72963,72964,8,33276,33769,33289,33347,6,43560,2,33768,4
72954,37491,8,33290,33396,9,33905,6,40597,33299,33395,33301
72953,38360,8,33290,36226,9,34539,6,40595,33299,36226,33301
72937,72938,8,33290,36430,33326,33526,6,46891,33521,36430,33523
72931,72933,8,34210,33366,33289,33370,6,72932,33416,34207,33418
72922,72923,8,33290,35108,33326,34717,6,43347,33339,34566,33341
72919,72920,45804,33290,34041,33289,33678,6,34040,33426,33675,33428
72881,7,8,33276,33485,33289,11,6,52605,2,3,4
72851,33336,8,33313,33438,33275,11,6,35503,2,3,4
72817,37551,8,33369,41139,33289,33347,6,38500,2,33768,4
72812,49482,8,33904,33366,33289,33370,6,35694,2,33365,4
72811,33518,8,33346,38650,9,33430,6,38649,33339,33895,33341
72775,54002,8,33290,36226,33431,34539,6,37748,33299,36226,33301
72742,36292,8,33904,34935,33431,33423,6,47136,2,34181,4
72739,7,8,33296,33553,9,11,6,38895,2,3,4
72723,72724,8,33422,33828,33326,33430,6,46390,33416,33689,33418
72708,33518,8,33290,34483,9,33430,6,36720,33283,34411,33285
72691,72692,8,33290,37386,33326,33863,6,43772,33299,34471,33301
72672,35162,8,33408,33406,33289,33370,6,36472,2,33365,4
72641,72642,8,33422,33419,9,33423,6,54925,33416,33417,33418
72634,36249,8,33290,35398,33431,33430,6,36283,33426,33675,33428
72607,33947,8,33290,33690,9,33430,6,45886,33416,33689,33418
72556,44696,8,33290,37995,33326,33461,6,48238,33357,37994,33359
72543,72544,8,34210,34208,9,35069,6,35067,33416,34207,33418
72540,72542,8,33290,33936,33345,33430,6,72541,33283,33447,33285
72533,33518,8,33290,35398,33289,33430,6,35765,33426,33675,33428
72519,33518,8,33290,33621,33431,33430,6,36040,33426,33621,33428
72496,33947,8,33290,42102,9,33430,6,42101,33316,34024,33317
72465,40456,8,33290,33667,33431,33291,6,44126,33283,33666,33285
72463,72464,8,33290,33549,33268,33270,6,39801,33521,33265,33523
72441,53393,8,33290,34102,9,33450,6,34101,33299,33790,33301
72426,33489,8,33313,33307,33275,11,6,33575,2,3,4
72423,48559,8,33904,36213,33431,33833,6,48385,2,34181,4
72419,41957,8,33408,33366,33309,33370,6,34667,2,33365,4
72416,33489,8,33313,33279,33275,11,6,35390,2,3,4
72402,50710,8,33290,35228,33289,33461,6,69069,33283,35227,33285
72361,33518,8,33388,34556,9,33430,6,43171,33316,34024,33317
72345,34004,34005,33408,33966,33309,33968,6,39666,2,33365,4
72327,33518,8,33290,33690,9,33430,6,45886,33416,33689,33418
72311,72312,8,33290,35516,9,33362,6,38240,33416,33529,33418
72310,33489,8,33296,33307,33275,11,6,35256,2,3,4
72302,33518,8,33290,37199,9,33430,6,37198,33316,34024,33317
72297,72298,36228,33290,35228,33345,34577,6,41243,33283,35227,33285
72290,33478,8,33290,38378,33431,33430,6,39910,33283,34432,33285
72215,39850,8,33290,37199,33326,33430,6,40941,33316,34024,33317
72212,72213,8,33290,33350,33431,34539,6,41401,33283,33885,33285
72174,33430,8,33422,33573,9,33430,6,34775,33416,33529,33418
72168,72169,8,33290,33501,9,33712,6,45835,33347,33501,33502
72162,51436,8,33290,42633,33326,33604,6,39308,33416,33529,33418
72101,72102,8,33290,33549,33345,33526,6,35012,33521,34787,33523
72090,72092,8,33313,39436,33431,11,6,72091,2,3,4
72073,72074,33777,33290,33775,33326,33291,6,34218,33283,33323,33285
72028,33991,33751,33290,33667,9,33291,6,33990,33283,33666,33285
71969,7,8,33455,33453,9,11,6,58573,2,3,4
71893,40783,8,33269,36385,33289,33657,6,34389,2,33730,4
71871,71872,8,33290,34573,33431,34780,6,66835,33283,34572,33285
71841,33947,8,33290,34465,9,33430,6,62722,33283,34432,33285
71835,71836,8,33290,36730,33326,33526,6,39175,33521,38331,33523
71832,71833,8,33617,33615,33431,33618,6,38590,33416,33614,33418
71830,71831,8,33290,35228,9,33833,6,37497,33283,35227,33285
71826,33518,8,33290,40767,9,33430,6,40766,33283,33284,33285
71821,37491,8,33290,33812,9,33905,6,45978,33299,33601,33301
71780,71781,8,33290,33667,33345,34577,6,38990,33283,33666,33285
71767,71768,8,33290,33775,34576,34577,6,34571,33283,33323,33285
71751,40144,8,33296,34917,33326,11,6,34951,2,3,4
71739,33489,8,33313,33273,33275,11,6,33825,2,3,4
71727,35402,8,33422,33828,9,33430,6,46390,33416,33689,33418
71716,33442,8,33313,33438,33309,11,6,41320,2,3,4
71668,33454,8,33269,33266,33268,33270,6,49058,2,33265,4
71664,33518,8,33290,34182,33289,33430,6,44622,2,34181,4
71659,34952,8,33269,33266,33289,33712,6,39914,2,3,4
71626,71627,8,33904,34063,9,33430,6,44011,2,33365,4
71619,33336,8,33313,33438,33275,11,6,33630,2,3,4
71614,36171,8,33290,40914,33345,33461,6,35462,33299,34471,33301
71589,33770,8,33290,33769,33289,33347,6,33767,2,33768,4
71581,33622,8,33290,34251,9,33604,6,65339,2,33730,4
71577,40456,8,33290,37961,33431,33291,6,43483,33283,33885,33285
71568,33336,8,33313,33279,33275,11,6,37449,2,3,4
71561,33622,8,33904,34063,9,33430,6,41005,2,33365,4
71552,49327,8,33290,34979,33345,33526,6,45034,33521,34979,33523
71548,33622,8,33290,39309,9,33604,6,39308,33416,33529,33418
71534,33947,8,33290,34891,9,33430,6,38730,33299,33790,33301
71531,45074,8,33296,33568,33289,33526,6,48257,2,34012,4
71484,36249,8,33290,34182,33431,33430,6,34180,2,34181,4
71460,36249,8,33290,33812,33431,33430,6,49946,33299,33601,33301
71458,71459,8,33290,33769,33289,33347,6,49802,2,33768,4
71425,39732,8,33313,34535,33309,34553,6,41553,33283,33447,33285
71354,71355,8,33290,35905,34576,38255,6,40533,33426,33621,33428
71353,37194,8,33269,33266,33431,33389,6,57706,2,3,4
